Numero de mesure,Longitude,Latitude,Position,Insee,Adresse,Complement,Code postal,Commune,Date de mesure,Mesure realisee,Rapport,Conformite de la mesure,Niveau global,Type d'environnement,Laboratoire
5600,3.48361,43.31222,"03e 29' 01.00'' Est, 43e 18' 44.00'' Nord",34003,Rue Paul Balmigere,"Stade Louis Sanguin, entre le local technique de la ville d'Agde, et les terrains de tennis",34300,AGDE,19/01/2005,En exterieur,FicheMesure5600.pdf,Oui,0.85,Rue / Route / Parking,AEXPERTISE
5609,3.51333,43.28361,"03e 30' 48.00'' Est, 43e 17' 01.00'' Nord",34003,Place de l'Agde Marine,Sur la place de l'Agde Marine.,34300,AGDE,31/01/2005,En exterieur,FicheMesure5609.pdf,Oui,0.60,Rue / Route / Parking,CSTB - Saint Martin d'Heres
5610,3.51333,43.28444,"03e 30' 48.00'' Est, 43e 17' 04.00'' Nord",34003,Place A. Bertrand,Sur une place de parking de la place A. Bertrand.,34300,AGDE,31/01/2005,En exterieur,FicheMesure5610.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
5611,3.51472,43.28417,"03e 30' 53.00'' Est, 43e 17' 03.00'' Nord",34003,Rue des Sergents,Sur le parvis de l'annexe de la mairie.,34300,AGDE,31/01/2005,En exterieur,FicheMesure5611.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
5621,3.87972,43.75806,"03e 52' 47.00'' Est, 43e 45' 29.00'' Nord",34276,Les Avants,"Au pied du pylene, les Avants.",34270,SAINT-MATHIEU-DE-TREVIERS,01/02/2005,En exterieur,FicheMesure5621.pdf,Oui,0.58,Rue / Route / Parking,CSTB - Saint Martin d'Heres
5622,3.88056,43.75917,"03e 52' 50.00'' Est, 43e 45' 33.00'' Nord",34276,12 Rue des Dryades,"Devant le ne12, les Dryades.",34270,SAINT-MATHIEU-DE-TREVIERS,01/02/2005,En exterieur,FicheMesure5622.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
5623,3.87500,43.76028,"03e 52' 30.00'' Est, 43e 45' 37.00'' Nord",34276,Avenue du Grand Chene,Au croisement de l'av. du Grand Chene et de l'av. des Romarins.,34270,SAINT-MATHIEU-DE-TREVIERS,01/02/2005,En exterieur,FicheMesure5623.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
5803,3.81806,43.58139,"03e 49' 05.00'' Est, 43e 34' 53.00'' Nord",34270,1 Impasse des Joncs,Devant la villa de Mr Rebous,34430,SAINT-JEAN-DE-VEDAS,08/03/2005,En exterieur,FicheMesure5803.pdf,Oui,0.66,Rue / Route / Parking,BUREAU VERITAS - Marseille
6268,3.14167,43.31278,"03e 08' 30.00'' Est, 43e 18' 46.00'' Nord",34081,Rue des ecoles,Terrain de basket et football de l'�cole,34440,COLOMBIERS,25/05/2005,En exterieur,FicheMesure6268.pdf,Oui,0.21,Rue / Route / Parking,BUREAU VERITAS - Marseille
6375,3.59361,43.43306,"03e 35' 37.00'' Est, 43e 25' 59.00'' Nord",34157,RN 113,"RN 113, devant propriete de M Delmas et M Lassene",34140,MEZE,30/05/2005,En exterieur,FicheMesure6375.pdf,Oui,0.00,Rue / Route / Parking,AEXPERTISE
6456,3.68667,43.40806,"03e 41' 12.00'' Est, 43e 24' 29.00'' Nord",34301,Rue Salvador Allende,"Sur le trottoir,  e l'angle du betiment de l'ancienne agence.",34200,SETE,01/06/2005,En exterieur,FicheMesure6456.pdf,Oui,0.54,Rue / Route / Parking,CSTB - Saint Martin d'Heres
6807,3.84000,43.60861,"03e 50' 24.00'' Est, 43e 36' 31.00'' Nord",34172,888 Rue Franeois Dezeuze,Devant le portail d'entree de l'immeuble.,34070,MONTPELLIER,19/08/2005,En exterieur,FicheMesure6807.pdf,Oui,0.22,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7015,3.84000,43.62500,"03e 50' 24.00'' Est, 43e 37' 30.00'' Nord",34172,173 Rue Michel Teule,"Sur le parking du ""Parc d'Alco"".",34080,MONTPELLIER,17/10/2005,En exterieur,FicheMesure7015.pdf,Oui,0.47,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7018,3.84167,43.60750,"03e 50' 30.00'' Est, 43e 36' 27.00'' Nord",34172,Avenue de la Colline,Devant l'entree de l'EREA Jean Jacques Rousseau.,34070,MONTPELLIER,18/10/2005,En exterieur,FicheMesure7018.pdf,Oui,0.31,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7019,3.84194,43.60667,"03e 50' 31.00'' Est, 43e 36' 24.00'' Nord",34172,270 Avenue de la Colline,En bordure du Lycee Professionnel de la Colline.,34070,MONTPELLIER,18/10/2005,En exterieur,FicheMesure7019.pdf,Oui,0.29,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7020,3.84222,43.60611,"03e 50' 32.00'' Est, 43e 36' 22.00'' Nord",34172,36 Rue des Eglantiers,Devant l'entree des logements du lycee.,34070,MONTPELLIER,18/10/2005,En exterieur,FicheMesure7020.pdf,Oui,0.65,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7021,3.66000,43.39556,"03e 39' 36.00'' Est, 43e 23' 44.00'' Nord",34301,Avenue Jean Monnet,"Sur la terrasse de M. DUMONT au RDC, residence ""La Corvette"".",34200,SETE,19/10/2005,En exterieur,FicheMesure7021.pdf,Oui,0.24,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7022,3.66611,43.39556,"03e 39' 58.00'' Est, 43e 23' 44.00'' Nord",34301,19 Boulevard Joliot Curie,Sous le preau du lycee Joliot Curie.,34200,SETE,19/10/2005,En exterieur,FicheMesure7022.pdf,Oui,0.29,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7168,3.88528,43.60611,"03e 53' 07.00'' Est, 43e 36' 22.00'' Nord",34172,24 Avenue du Pont Juvenal,Sur le trottoir en face de l'�cole de formation FORMATEP-ETEC,34000,MONTPELLIER,16/11/2005,En exterieur,FicheMesure7168.pdf,Oui,0.00,Rue / Route / Parking,AEXPERTISE
7169,3.88472,43.60722,"03e 53' 05.00'' Est, 43e 36' 26.00'' Nord",34172,Avenue des Etats du Languedoc,"A l'arriere de la cours de la creche Antigone, e cote de la cabine telephonique",34000,MONTPELLIER,16/11/2005,En exterieur,FicheMesure7169.pdf,Oui,0.00,Rue / Route / Parking,AEXPERTISE
7306,3.87194,43.60778,"03e 52' 19.00'' Est, 43e 36' 28.00'' Nord",34172,Rue des Soldats,Le long de l'enceinte de l'�cole.,34000,MONTPELLIER,08/12/2005,En exterieur,FicheMesure7306.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7307,3.87111,43.60722,"03e 52' 16.00'' Est, 43e 36' 26.00'' Nord",34172,26 Cours Gambetta,Au pied de l'immeuble,34000,MONTPELLIER,08/12/2005,En exterieur,FicheMesure7307.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7308,3.87111,43.60722,"03e 52' 16.00'' Est, 43e 36' 26.00'' Nord",34172,Cours Gambetta,Devant le betiment de la CRAM.,34000,MONTPELLIER,08/12/2005,En exterieur,FicheMesure7308.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7309,3.89833,43.59167,"03e 53' 54.00'' Est, 43e 35' 30.00'' Nord",34172,Avenue du Docteur Jacques Fourcade,En bordure du complexe sportif de la Rauze.,34070,MONTPELLIER,09/12/2005,En exterieur,FicheMesure7309.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7310,3.89361,43.59278,"03e 53' 37.00'' Est, 43e 35' 34.00'' Nord",34172,Rue de Saint Hilaire,"Devant l'entree de ""Coste Peinture"".",34070,MONTPELLIER,09/12/2005,En exterieur,FicheMesure7310.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7311,3.89667,43.59333,"03e 53' 48.00'' Est, 43e 35' 36.00'' Nord",34172,Rue de Saint Hilaire,Sur le parking de l'�cole maternelle Paul Eluard.,34070,MONTPELLIER,09/12/2005,En exterieur,FicheMesure7311.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
7760,3.81861,43.62361,"03e 49' 07.00'' Est, 43e 37' 25.00'' Nord",34172,53 Rue de Salamanque,Devant la stele Groupe scolaire Salamanque,34080,MONTPELLIER,20/12/2005,En exterieur,FicheMesure7760.pdf,Oui,0.00,Rue / Route / Parking,AEXPERTISE
7761,3.81222,43.64000,"03e 48' 44.00'' Est, 43e 38' 24.00'' Nord",34172,135 Allee des Hauts de Montpellier,"Au bord du stade, e cete du pylene d'�clairage pres du club house Les Tristons",34080,MONTPELLIER,20/12/2005,En exterieur,FicheMesure7761.pdf,Oui,4.10,Divers,AEXPERTISE
7762,3.90833,43.61167,"03e 54' 30.00'' Est, 43e 36' 42.00'' Nord",34172,175 Rue Edouard Villalonga,Sur le palier de la porte fenetre de l'�cole Sarah Bernardt,34000,MONTPELLIER,19/12/2005,En exterieur,FicheMesure7762.pdf,Oui,0.64,Rue / Route / Parking,AEXPERTISE
7763,3.88917,43.61028,"03e 53' 21.00'' Est, 43e 36' 37.00'' Nord",34172,528 Boulevard Antigone,"A l'angle de l'�cole elementaire Pericles, cete boulevard Antigone",34000,MONTPELLIER,19/12/2005,En exterieur,FicheMesure7763.pdf,Oui,0.23,Rue / Route / Parking,AEXPERTISE
8054,3.83111,43.57750,"03e 49' 52.00'' Est, 43e 34' 39.00'' Nord",34270,1 Rue Bobby Lapointe,devant la porte d'entree,34430,SAINT-JEAN-DE-VEDAS,25/01/2006,En exterieur,FicheMesure8054.pdf,Oui,1.44,Rue / Route / Parking,AEXPERTISE
8055,3.82889,43.56806,"03e 49' 44.00'' Est, 43e 34' 05.00'' Nord",34270,2 Rue Du brucq,devant le portail du garage,34430,SAINT-JEAN-DE-VEDAS,25/01/2006,En exterieur,FicheMesure8055.pdf,Oui,2.46,Rue / Route / Parking,AEXPERTISE
8475,3.91028,43.65722,"03e 54' 37.00'' Est, 43e 39' 26.00'' Nord",34120,4 Rue Belvedere,devant le ne4 de la rue Belvedere,34830,JACOU,18/04/2006,En exterieur,FicheMesure8475.pdf,Oui,1.75,Rue / Route / Parking,AEXPERTISE
8488,3.69361,43.65028,"03e 41' 37.00'' Est, 43e 39' 01.00'' Nord",34163,Avenue Font Mosson,"Ecole Maternelle de Montarnaud, dans la cour, entre le preau et l'aire de jeu",34570,MONTARNAUD,17/05/2006,En exterieur,FicheMesure8488.pdf,Oui,0.35,Rue / Route / Parking,AEXPERTISE
8490,3.69750,43.65972,"03e 41' 51.00'' Est, 43e 39' 35.00'' Nord",34163,Lotissement Crouzette,"Devant le College Vincent Badie de Montarnaud, sur le trottoir, en face du parc e velo",34570,MONTARNAUD,17/05/2006,En exterieur,FicheMesure8490.pdf,Oui,0.27,Rue / Route / Parking,AEXPERTISE
8495,3.85333,43.59111,"03e 51' 12.00'' Est, 43e 35' 28.00'' Nord",34172,3220 Boulevard Paul Valery,"�cole superieure des arts et des medias, en face du cheteau d'eau, devant l'acces e la chaufferie",34000,MONTPELLIER,19/04/2006,En exterieur,FicheMesure8495.pdf,Oui,0.42,Rue / Route / Parking,AEXPERTISE
8496,3.85417,43.59083,"03e 51' 15.00'' Est, 43e 35' 27.00'' Nord",34172,3220 Boulevard Paul Valery,"�cole superieure des arts et des medias, e l'entree du parking",34000,MONTPELLIER,19/04/2006,En exterieur,FicheMesure8496.pdf,Oui,0.40,Rue / Route / Parking,AEXPERTISE
8497,3.85333,43.59028,"03e 51' 12.00'' Est, 43e 35' 25.00'' Nord",34172,3220 Boulevard Paul Valery,� l'angle sud est du betiment principal de l'�cole superieur des arts et metiers,34000,MONTPELLIER,19/04/2006,En exterieur,FicheMesure8497.pdf,Oui,0.19,Rue / Route / Parking,AEXPERTISE
8503,3.83861,43.56361,"03e 50' 19.00'' Est, 43e 33' 49.00'' Nord",34270,Rue Saint Exupery,"Entreprise Unibeton, rue Saint Exupery, toit du silo annexe situe cete cabine de commande",34430,SAINT-JEAN-DE-VEDAS,20/04/2006,En exterieur,FicheMesure8503.pdf,Oui,2.68,Divers,AEXPERTISE
8505,3.83861,43.56361,"03e 50' 19.00'' Est, 43e 33' 49.00'' Nord",34270,Rue Saint Exupery,"Entreprise Unibeton, rue Saint Exupery, devant l'antree de la salle de repos et devant la cabine de commande",34430,SAINT-JEAN-DE-VEDAS,20/04/2006,En exterieur,FicheMesure8505.pdf,Oui,0.27,Rue / Route / Parking,AEXPERTISE
9167,3.87806,43.60556,"03e 52' 41.00'' Est, 43e 36' 20.00'' Nord",34172,10 Rue du General Lafon,Sur le trottoir devant l'entree de l'�cole maternelle Anatole France.,34000,MONTPELLIER,16/08/2006,En exterieur,FicheMesure9167.pdf,Oui,0.24,Rue / Route / Parking,CSTB - Saint Martin d'Heres
9168,3.87806,43.60556,"03e 52' 41.00'' Est, 43e 36' 20.00'' Nord",34172,12 Rue Durand,Sur le trottoir devant la vitrine du magasin Galion-Import.,34000,MONTPELLIER,16/08/2006,En exterieur,FicheMesure9168.pdf,Oui,0.22,Rue / Route / Parking,CSTB - Saint Martin d'Heres
9169,3.87806,43.60556,"03e 52' 41.00'' Est, 43e 36' 20.00'' Nord",34172,16 Rue Durand,Sur le trottoir devant l'entree du centre de formation cosmetique.,34000,MONTPELLIER,16/08/2006,En exterieur,FicheMesure9169.pdf,Oui,0.25,Rue / Route / Parking,CSTB - Saint Martin d'Heres
9524,3.82389,43.63361,"03e 49' 26.00'' Est, 43e 38' 01.00'' Nord",34172,Cour des Provinces,"Entre les entrees de ne 23 et 205, au pied des immeubles",34080,MONTPELLIER,05/10/2006,En exterieur,FicheMesure9524.pdf,Oui,0.23,Rue / Route / Parking,AEXPERTISE
